"","Colony: Foulstone https://roguetrader.wh40k.wiki/Foulstone_(Colony)#Chronicle_Events ","","","","","","","","","","","","","","","","","","","","","","","",""
"","Project","Cost","Benefit","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1","","","","","","","","","","","","","","","","","","","","","","","",""
"","Dominion of the Hammer","None","Weapon: Hammer of Epiphany / Security +2 / Drusian Reputation +2500","","","","","","","","","","","","","","","","","","","","","",""
"","High Throne","None","Ship Trait: Emperor's Retribution / Holy Gifts: x5 / Effeciency: +2","","","","","","","","","","","","","","","","","","","","","",""
"","A Celestial Protector","None","Trait: Benevolent Protection / Profit factor: +2 / Complacency: +2","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2","","","","","","","","","","","","","","","","","","","","","","","",""
"","Touched by Holiness","Profit factor: ≥ 20","Ship Trait: Shield of Faith / Effeciency: +2 / Drusian Rep: +2500","","","","","","","","","","","","","","","","","","","","","",""
"","Dirty bureaucracy","Profit factor: ≥ 25 / Drusian Reputation: ≥15810 (Level 3)","Profit factor: +3 / Mechanisms +3 / Weapons +3 / Unquenchable Greed","","","","","","","","","","","","","","","","","","","","","",""
"","Indulgence for sale","None","Profit factor: +3 / Fellowship of the Void +2500 / Heretical +30","","","","","","","","","","","","","","","","","","","","","",""
"","Hallowed Railway","Explorator Reputation: ≥11675 (level 8) / Plasteel: 1 / Mechanisms: 1 / Adamantium: 1","Item: Requiemator / Reputation Explorators: +2500 / Complacency: +2","","","","","","","","","","","","","","","","","","","","","",""
"","Cemetery of the Faithful","Drusian Reputation: ≥22060 (Level 6)","Ship Trait: Blessing of the Fallen / Drusian Reputation: +2500 / Complacency: +1 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Thousand-faced relic","Chemicals 1 / People 3 / Promethium 1","Drusians +2500 / Complacency +2 / Efficiency +2 / Drusians +2500","","","","","","","","","","","","","","","","","","","","","",""
"","Bonfires of Righteousness","Contentment: ≥4 / Efficiency: ≥4 / Promethium: 1 / People: 3 / Weapons: 1 / Xenotech: 1","Weapon: Infernical / Profit factor: +2 / Security: +2","","","","","","","","","","","","","","","","","","","","","",""
"","Good Tidings","Flogiston: 2 / Adamantium: 2","Character Trait: Frequency of Faith / Profit Factor +2 / Complacency: +2","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3","","","","","","","","","","","","","","","","","","","","","","","",""
"","In Drusus' Footsteps","One of the projects: ""Bonfires of Righteousness""/ ""Good News"" / Imperial Navy Reputation: ≥6500 (Level 3) / Promethium: 2 / Plasteel: 6 / Provisions: 2 / People: 9 / Mechanisms: 2 / Adamantium: 2","Subject: Accuser of Sin / Profit factor: +5 / Complacency: +2 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Crusade","Project ""Bonfires of Righteousness"" / Provisions: 3 / Weapons: 3 / People: 9","Trait of the Retinue: Accusation of Heresy / Character Trait: Accusation of Heresy / Profit factor: +5 / Security: +2 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Shrine","Project ""Good News"" / Profit factor: ≥ 50 / Adamantium: 4 / Flogiston: 4","Weapon: Epiphany / Drusians +5000 / Complacency: +3 / Efficiency: +3","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4","","","","","","","","","","","","","","","","","","","","","","","",""
"","False Wonders","Any level 3 project","Item Caligae of Saint Keefe / People: +6 / Effeciency +2 / Complacency +2","","","","","","","","","","","","","","","","","","","","","",""
"","Missionaries","Completed: In Drusus's footsteps, Crusade or Shrine","Feature: Light of Faith / Profit Factor +3 / Security +2 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Holy Ammunition","Completed: In Drusus's footsteps, Crusade or Shrine / Reputation with Drusians >= 35600","Feature: Sanctified Projects / Weapons 3 / Promethium 3 / Security +2 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Lightbearers","Any level 3 project & Warp Guides / Promethium 4 / Plasteel 4 / People 2","Imperial Navy Reputation: +5000 / Security: +2","","","","","","","","","","","","","","","","","","","","","",""
"","Gracious Priests","Praisng the Muses / Provisions 3 / Chemicals 3 / Plasteel 4","Replenishable item: Hospitalist's medical kit x5 / Dogmatic +40 / Complacency +3 Global","","","","","","","","","","","","","","","","","","","","","",""
"","Holy Prey","Reputation with Drusians >= 35600","Weapon: Lamp of Blessed Petrakara / Heretic: +40 points / Effeciency +3 / Safety -1 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Crucible","Any level 3 project / Chemicals 2 / Flogiston 3 / Promethium 5","Character Trait: Holy Man / Holy Gifts 10 / Profit Factor 5 / Complacency +3 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5","","","","","","","","","","","","","","","","","","","","","","","",""
"","Holy Defenders","Project ""Crucible"" / Project ""Praise of the Muses"" (Dargonus) / Plasteel 6 / People 3","Armor: Arbiter Solomon Vir's Armor / Profit factor: +5 / Drusians +5000 Security 2 / Adamantine 3","","","","","","","","","","","","","","","","","","","","","",""
"","Sacred Comet","Project ""Crucible"" / Project ""Orbital Shipyard"" (Keiva Gamma) / Flogiston 6 / Weapons 3 / Mechanisms","Profit factor 5 / Drusians 2500 / Explorators 2500 / Security: +2 (for all colonies) / Complacency: +4 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Reliquary","Project ""Crucible"" / Adamantium: 5","Character Trait: Blessing of Saint Cognatius / Profit factor: +5","","","","","","","","","","","","","","","","","","","","","",""
"","Colony: Dargonus https://roguetrader.wh40k.wiki/Dargonus_(Colony)#Chronicle_Events ","","","","","","","","","","","","","","","","","","","","","","","",""
"","Project","Cost","Benefit","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1","","","","","","","","","","","","","","","","","","","","","","","",""
"","Restoration","Provisions 1 / Plasteel 3","Profit Factor +2 / Valancius Restoration / People +4","","","","","","","","","","","","","","","","","","","","","",""
"","Ecstasiums for the Nobility","People 1 / Plasteel 1 / Flogiston 2","Profit Factor +2 / Complacency +2 / Effeciency +2","","","","","","","","","","","","","","","","","","","","","",""
"","Emporium","None","Jewellery 5 / Ship Components 5 / Profit Factor 3 / Effeciency 2 / Adamantine 1 / Mechanisms 1 / Plasteel 2","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2","","","","","","","","","","","","","","","","","","","","","","","",""
"","Genetic Mercy","None","People +6 / Iconoclast +30 / Security 1 / Complacency 1","","","","","","","","","","","","","","","","","","","","","",""
"","Scriptorium Schools","Provisions 4 / Profit Factor 1","Efficiency +2 (global) / People 4 / Complacency 1","","","","","","","","","","","","","","","","","","","","","",""
"","Doctrine of Rationality","Mechanisms 1 / People 2 / Plasteel 1","Dogmatic 30 / Effeciency 2 / Complacency 2 / Security 2","","","","","","","","","","","","","","","","","","","","","",""
"","Sordid Good","People 3 / Reputation Void Brotherhood ≥ 8500","Fellowship of the void 2500 / Mechanisms 2 / Weapons 2 / Xenotech 2","","","","","","","","","","","","","","","","","","","","","",""
"","Kasballican Auction","Adamantine 1 / Plasteel 1 / Weapons 2 / Reputation Mission Kasballika ≥ 16410 (level 8)","Weapon: Ash Breath / Reputation Mission Kasballika +3500 / Profit factor +3","","","","","","","","","","","","","","","","","","","","","",""
"","Hallucinatory Chem-Thermae","Chemicals 2 / Provisions 1 / People 1","Refillable item: Crimson Haze / Profit factor +2 / Complacency 2 / Heretic: +30 points","","","","","","","","","","","","","","","","","","","","","",""
"","Shield of the Emperor","Profit Factor 3 / Reputation with Imperial Navy 10500","Additional: Escort ship / Ship Trait: Pirate bane Security +1 (for all colonies) / Imperial Navy Reputation +2500","","","","","","","","","","","","","","","","","","","","","",""
"","The Scourge of Expanse","Provisions 4","Additional: Escort ship / Ship Trait: Master Raider / Fellowship of the void 2500 / Effeciency +1 (global)","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3","","","","","","","","","","","","","","","","","","","","","","","",""
"","Guilds","One of the projects ""Shield of the Emperor"" / ""The Scourge of Expanse"" / Complacency >=4 / Effeciency >=4","Refillable Item: MkXVi Frag Grenade / Profit Factor 5 / Efficiency +3 / Complacency -1","","","","","","","","","","","","","","","","","","","","","",""
"","Adeptus Arbites","Reputation with Imperial Navy 10500 / Complacency >=4","Item Zealot Profit Factor 3 / Imperial Navy Reputation / +5000 / Security +3","","","","","","","","","","","","","","","","","","","","","",""
"","Season of wars","Project ""The Filth of Expanse"" / Complacency >=4 / Effeciency >=4","Character Trait: Bloody Underhive Leader / Weapon: Karkalla's Honour / Security 3 / Complacency 3","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4","","","","","","","","","","","","","","","","","","","","","","","",""
"","Holy Profit","Any level 3 project / Effeciency >=5","Item Eyes of Joyeuse / People +5 / People 6","","","","","","","","","","","","","","","","","","","","","",""
"","Praing the muses","Any level 3 project / Plastal 6 / Adamantium 4","Trait Remembered in Prayers / People 4 / Complacency 2 / Effeciency 2","","","","","","","","","","","","","","","","","","","","","",""
"","Pleasing the Tired","Any level 3 project / Provisions 4 / Mechanisms 3 / Flogiston 3 / Profit Factor 3","Trait Nobility is perfection / Drusians 5000 / Security +2","","","","","","","","","","","","","","","","","","","","","",""
"","Call to Arms","Any level 3 project","Item: Familial Power Armour / Security +3 / People 3 / Weapons 3","","","","","","","","","","","","","","","","","","","","","",""
"","Militia Navy","Any level 3 project / Reputation Imperial Navy ≥ 2250 / Mechanisms 2 / People 4 / Promethium 2","Ship trait Battle Mastery / Imperial Navy Reputation 5000 / Security +2 (Global) / Complacency +2 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Charter of Minimum Rights","Any level 3 project / Complacency >=5","Character Trait: Bestower of Freedom / Iconoclast +40 / Effeciency 2 / Security +2","","","","","","","","","","","","","","","","","","","","","",""
"","Bastion","Any level 3 project / Contentment: ≥ 7 / Safety: ≥ 7 / Efficiency: ≥ 7 / Profit factor: ≥ 60","Profit Factor 5 / Ship components 5 / Jewellery 5 / Xeno-Artefacts 5 / Complacency -3 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5","","","","","","","","","","","","","","","","","","","","","","","",""
"","Schola Progenium","Project ""Bastion"" Project ""Pure Blood"" (Vheabos-6) / Provisions 3 / Plasteel 6 / Weapons 3","Armor: Loyalist garb Profit Factor 3 People 6 Security +3 (for all colonies)","","","","","","","","","","","","","","","","","","","","","",""
"","Librarium","Project ""Bastion"" Project ""Secret Lodge"" (Janus) / Xenotech 3","Item: Echo of Victory / Profit factor +5 / Kasballica +5000 / Effeciency +2 (Global)","","","","","","","","","","","","","","","","","","","","","",""
"","Society of Cartographers","Project ""Bastion"" Promethium 6 Mechanisms 3 Provisions 3","Weapon: Woebringer / Profit Factor 4 / Imperial Navy 5000 / Complacency 2 / Security 2","","","","","","","","","","","","","","","","","","","","","",""
